2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = ffffffff, exists = true, startAddr = 1f800000, endAddr = 1f8fffff, rowSize = 0000, rowEraseSize = 0000, addrInc = 0004, widthProgram = 0004
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0004, widthProgram = 0004
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0004, widthProgram = 0004
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 7fffffff, exists = true, startAddr = ffffffff, endAddr = fffffffe, rowSize = 0001, rowEraseSize = 0000, addrInc = 0001, widthProgram = 0001
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: mask = 0000, exists = false, startAddr = 00000000, endAddr = 00000000, rowSize = 0000, rowEraseSize = 0000, addrInc = 0000, widthProgram = 0000
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 DeviceInfo: CfgRequiredBitsMask Values:
2233 1749827398659 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM100 Address = 1fc0ff40, Mask = 7b000000
2233 1749827398685 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.04.22, fpgaVer = ff.ff.ff, scriptVer = 00.08.91, macAddress = 0504883548174844853485156484857, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR222474482, appCommitID = null, scriptCommitID = 0674c1b56b, PCB_ID = 6
2233 1749827398685 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End
2233 1749827398685 XXXX 1749827398685, Thread 2233: XXXX 1749827398685, Entering Thread 2233: Commands::runScriptWithUpload with script contents. contents[0] = 0x5e, ...  
2233 1749827398685 XXXX 1749827398685, Thread 2233: XXXX 1749827398685, Entering Thread 2233: ToolCommUsb::readTransfer, sideData is 0xd bytes long, transferDataLength is 0x4 bytes long  
2233 1749827398688 XXXX 1749827398688, Thread 2233: XXXX 1749827398688, Exiting Thread 2233: ToolCommUsb::readTransfer,  cr.status = 0x0  
2233 1749827398688 XXXX 1749827398688, Thread 2233: XXXX 1749827398688, Exiting Thread 2233: Commands::runScriptWithUpload  
2233 1749827398688 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()
2233 1749827398688 GEN4_CONNECT_DIAGNOSTICS:Created FirmwareUpdateHandler com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler@439785d9
2233 1749827398688 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.UpdateFirmware(FirmwareInfo, UpdateMessage)
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:areWeInBoot returned false
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:inBoot = false
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:uMode = done
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:selectedTool = pk4
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:current toolType = pk4
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:current tool mode = pk4
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.updatePk4HybridFirmware()
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:Don't upgrade fimware = false
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:ENTERING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.updatePk4HybridFirmware()
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.pk4hybrid.pk4hybridFirmwareUpdateHandler.UpdateFirmware(FirmwareInfo, UpdateMessage)
2233 1749827398689 GEN4_CONNECT_DIAGNOSTICS:EXITING: com.microchip.mplab.mdbcore.RI4Tool.ConnectionHandler.CheckForFWUpdates()

2233 1749827398689 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:SetPowerInfo
2233 1749827398689 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827398689 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 PowerInfo: Values:
2233 1749827398689 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 PowerInfo: shotDownSystem = false, isToolPower = false, voltage = 3.250000, useVppFirst = false, useLowVoltageProgramming = true, useMaintainActivePower = false
2233 1749827398689 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827398689 XXXX 1749827398689, Thread 2233: XXXX 1749827398689, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x39, ...  
2233 1749827398690 XXXX 1749827398690, Thread 2233: XXXX 1749827398690, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827398690 XXXX 1749827398690, Thread 2233: XXXX 1749827398690, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x46, ...  
2233 1749827398691 XXXX 1749827398691, Thread 2233: XXXX 1749827398691, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827398691 XXXX 1749827398691, Thread 2233: XXXX 1749827398691, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x44, ...  
2233 1749827398704 XXXX 1749827398704, Thread 2233: XXXX 1749827398704, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827398704 XXXX 1749827398704, Thread 2233: XXXX 1749827398704, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xef, ...  
2233 1749827398714 XXXX 1749827398714, Thread 2233: XXXX 1749827398714, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827398714 XXXX 1749827398714, Thread 2233: XXXX 1749827398714, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x40, ...  
2233 1749827399112 XXXX 1749827399112, Thread 2233: XXXX 1749827399112, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399112 XXXX 1749827399112, Thread 2233: XXXX 1749827399112, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x47, ...  
2233 1749827399117 XXXX 1749827399117, Thread 2233: XXXX 1749827399117, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:SetPowerInfo
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 none
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:GetVoltageInfo
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 null
2233 1749827399118 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399118 XXXX 1749827399118, Thread 2233: XXXX 1749827399118, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x47, ...  
2233 1749827399122 XXXX 1749827399122, Thread 2233: XXXX 1749827399122, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:GetVoltageInfo
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 VoltagesInfo: Values:
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 VoltagesInfo: internalVdd = 3202, internalVpp = 3004, targetVdd = 3304, targetVpp = 373, vddSense = 0, temp = 25000, vddCurrentSense = 0, vddVoltageSense = 3125
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:GetFirmwareInfo
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 null
2233 1749827399122 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:GetFirmwareInfo
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 FirmwareInfo: Values:
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 FirmwareInfo: boot = false, bootVer = 01.00.00, apVer = 02.04.22, fpgaVer = ff.ff.ff, scriptVer = 00.08.91, macAddress = 0504883548174844853485156484857, devID = a1020e01, devID1 = 2, devSN0 = ffffffff, devSN1 = ffffffff, serialNumber = BUR222474482, appCommitID = null, scriptCommitID = 0674c1b56b, PCB_ID = 6
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:SetLEDBrightness
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 5
2233 1749827399130 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399130 XXXX 1749827399130, Thread 2233: XXXX 1749827399130, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xcf, ...  
2233 1749827399131 XXXX 1749827399131, Thread 2233: XXXX 1749827399131, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:SetLEDBrightness
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 none
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:SetToolInfo
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 ToolInfo: Values:
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 ToolInfo: speedLevel = 1, PGCResistance = 4700, PGDResistance = 4700, PGCPullDir = PullDown, PGDPullDir = PullDown, ICSPSelected = Wire2
2233 1749827399131 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399131 XXXX 1749827399131, Thread 2233: XXXX 1749827399131, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0x27, ...  
2233 1749827399131 XXXX 1749827399131, Thread 2233: XXXX 1749827399131, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399131 XXXX 1749827399131, Thread 2233: XXXX 1749827399131, Entering Thread 2233: Commands::runScriptBasic, script name = SetSpeedFromDevice, timeOut = -1 ms  
2233 1749827399132 XXXX 1749827399132, Thread 2233: XXXX 1749827399132, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399132 XXXX 1749827399132, Thread 2233: XXXX 1749827399132, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xed, ...  
2233 1749827399133 XXXX 1749827399133, Thread 2233: XXXX 1749827399133, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399133 XXXX 1749827399133, Thread 2233: XXXX 1749827399133, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xec, ...  
2233 1749827399134 XXXX 1749827399134, Thread 2233: XXXX 1749827399134, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399134 XXXX 1749827399134, Thread 2233: XXXX 1749827399134, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xd4, ...  
2233 1749827399135 XXXX 1749827399135, Thread 2233: XXXX 1749827399135, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399135 XXXX 1749827399135, Thread 2233: XXXX 1749827399135, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xcd, ...  
2233 1749827399136 XXXX 1749827399136, Thread 2233: XXXX 1749827399136, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399136 XXXX 1749827399136, Thread 2233: XXXX 1749827399136, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xce, ...  
2233 1749827399137 XXXX 1749827399137, Thread 2233: XXXX 1749827399137, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399137 XXXX 1749827399137, Thread 2233: XXXX 1749827399137, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xcd, ...  
2233 1749827399138 XXXX 1749827399138, Thread 2233: XXXX 1749827399138, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399138 XXXX 1749827399138, Thread 2233: XXXX 1749827399138, Entering Thread 2233: Commands::runScriptBasic with script contents. contents[0] = 0xce, ...  
2233 1749827399139 XXXX 1749827399139, Thread 2233: XXXX 1749827399139, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:SetToolInfo
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 none
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Pre:GetTargetIDInfo
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 null
2233 1749827399140 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399141 XXXX 1749827399141, Thread 2233: XXXX 1749827399141, Entering Thread 2233: Commands::runScriptBasic, script name = EnterTMOD_LV, timeOut = -1 ms  
2233 1749827399148 XXXX 1749827399148, Thread 2233: XXXX 1749827399148, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399148 XXXX 1749827399148, Thread 2233: XXXX 1749827399148, Entering Thread 2233: Commands::runScriptBasic, script name = InitJTAG, timeOut = -1 ms  
2233 1749827399148 XXXX 1749827399148, Thread 2233: XXXX 1749827399148, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399148 XXXX 1749827399148, Thread 2233: XXXX 1749827399148, Entering Thread 2233: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
2233 1749827399150 XXXX 1749827399150, Thread 2233: XXXX 1749827399150, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Post:GetTargetIDInfo
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 TargetIDInfo: Values:
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 TargetIDInfo: DeviceID = 6723b053
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Pre:SendOperation
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 OperationInfo: Values:
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 OperationInfo: Type = read, Mask = 00000000, Erase = false, Production Mode = true
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1fc54020, End = 1fc54027, Buffer Length = 8, Type = BootFlash, Mask = 00000000
2233 1749827399150 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Payload End
2233 1749827399150 XXXX 1749827399150, Thread 2233: XXXX 1749827399150, Entering Thread 2233: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
2233 1749827399150 XXXX 1749827399150, Thread 2233: XXXX 1749827399150, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399151 XXXX 1749827399151, Thread 2233: XXXX 1749827399150, Entering Thread 2233: Commands::runScriptBasic, script name = CheckCodeProtect, timeOut = -1 ms  
2233 1749827399151 XXXX 1749827399151, Thread 2233: XXXX 1749827399151, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399151 XXXX 1749827399151, Thread 2233: XXXX 1749827399151, Entering Thread 2233: Commands::runScriptBasic, script name = SetupSerialMode, timeOut = -1 ms  
2233 1749827399153 XXXX 1749827399153, Thread 2233: XXXX 1749827399153, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399153 XXXX 1749827399153, Thread 2233: XXXX 1749827399153, Entering Thread 2233: Commands::runScriptBasic, script name = LoadLoader, timeOut = -1 ms  
2233 1749827399175 XXXX 1749827399175, Thread 2233: XXXX 1749827399175, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399175 XXXX 1749827399175, Thread 2233: XXXX 1749827399175, Entering Thread 2233: Commands::runScriptWithDownload, script name = DownloadPE  
2233 1749827399260 XXXX 1749827399260, Thread 2233: XXXX 1749827399260, Exiting Thread 2233: Commands::runScriptWithDownload(DownloadPE)  
2233 1749827399260 XXXX 1749827399260, Thread 2233: XXXX 1749827399260, Entering Thread 2233: Commands::runScriptBasic, script name = TestPEConnect, timeOut = -1 ms  
2233 1749827399262 XXXX 1749827399261, Thread 2233: XXXX 1749827399261, Exiting Thread 2233: Commands::runScriptBasic  
2233 1749827399262 XXXX 1749827399262, Thread 2233: XXXX 1749827399262, Entering Thread 2233: Commands::runScriptWithUpload, script name = ReadProgmemPE  
2233 1749827399262 XXXX 1749827399262, Thread 2233: XXXX 1749827399262, Entering Thread 2233: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x8 bytes long  
2233 1749827399263 XXXX 1749827399263, Thread 2233: XXXX 1749827399263, Exiting Thread 2233: ToolCommUsb::readTransfer,  cr.status = 0x0  
2233 1749827399263 XXXX 1749827399263, Thread 2233: XXXX 1749827399263, Exiting Thread 2233: Commands::runScriptWithUpload  
2233 1749827399263 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Post:SendOperation
2233 1749827399263 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Return Value
2233 1749827399263 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 None
2233 1749827399263 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Return End

2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Pre:SendOperation
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 Payload
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 OperationInfo: Values:
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 OperationInfo: Type = erase, Mask = 00000000, Erase = false, Production Mode = true
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1d000000, End = 1d1fffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 20000000, End = 23ffffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 30000000, End = 33ffffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1fc0ffc0, End = 1fc0ffff, Buffer Length = 0, Type = Cfg, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1fc0ff40, End = 1fc0ff7f, Buffer Length = 0, Type = Cfg, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1fc4ffc0, End = 1fc4ffff, Buffer Length = 0, Type = Cfg, Mask = 00000000
2233 1749827399312 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM100 TransferInfo: Start = 1fc4ff40, End = 1fc4ff7f, Buffer Length = 0, Type = Cfg, Mask = 00000000
